teacher_id,school_id,male_teachers,female_teachers,pre_male,post_male,pre_female,post_female,efficiency_gain,training_completed
T1,101,30,30,65,85,66,86,20,Yes
T2,102,22,23,60,78,61,79,18,Yes
T3,103,20,20,62,80,63,81,18,Yes
T4,104,21,21,63,82,64,83,19,Yes
T5,105,20,22,61,79,62,80,18,Yes
T6,106,19,19,60,77,61,78,17,Yes
T7,107,18,21,59,76,60,77,17,Yes
T8,108,24,24,64,83,65,84,19,Yes
T9,109,23,21,63,81,64,82,18,Yes
T10,110,18,18,60,78,61,79,18,Yes
T11,111,17,17,58,75,59,76,17,Yes
T12,112,18,17,59,76,60,77,17,Yes
T13,113,16,17,57,74,58,75,17,Yes
T14,114,23,23,64,83,65,84,19,Yes
T15,115,21,20,62,80,63,81,18,Yes
T16,116,20,20,61,79,62,80,18,Yes
T17,117,21,21,62,80,63,81,18,Yes
T18,118,19,18,60,77,61,78,17,Yes
T19,119,22,21,63,81,64,82,18,Yes
T20,120,23,24,64,83,65,84,19,Yes
